Club,Valor_mercado_total_millones
Manchester City,1200.00
Liverpool FC,1170.00
Chelsea FC,1170.00
Tottenham Hotspur,898.60
Manchester United,797.60
Arsenal FC,659.05
Everton FC,529.10
Leicester City,434.10
West Ham United,359.00
AFC Bournemouth,310.00
Southampton FC,305.40
Wolverhampton Wanderers,302.90
Crystal Palace,289.00
Fulham FC,254.25
Newcastle United,244.65
Watford FC,239.10
Burnley FC,197.25
Brighton & Hove Albion,194.35
Huddersfield Town,137.45
Cardiff City,113.00
