id_equipo,temporada,liga,nombre
0,2020,premier,Liverpool
1,2020,premier,Manchester-City-Fc
2,2020,premier,Manchester-United-Fc
3,2020,premier,Chelsea-Fc
4,2020,premier,Leicester-City-Fc
5,2020,premier,Tottenham-Hotspur-Fc
6,2020,premier,Wolverhampton
7,2020,premier,Arsenal
8,2020,premier,Sheffield-United
9,2020,premier,Burnley-Fc
10,2020,premier,Southampton-Fc
11,2020,premier,Everton-Fc
12,2020,premier,Newcastle-United-Fc
13,2020,premier,Crystal-Palace-Fc
14,2020,premier,Brighton-Amp-Hov
15,2020,premier,West-Ham-United
16,2020,premier,Aston-Villa-Fc
17,2020,premier,Afc-Bournemouth
18,2020,premier,Watford-Fc
19,2020,premier,Norwich-City-Fc
